id,start_utc,duration_minutes,home,away,matchup,event_name,short_name,venue,city,country,broadcasts,source_url
760415,2026-06-11T19:00Z,120,Mexico,South Africa,Mexico vs South Africa,South Africa at Mexico,RSA @ MEX,Estadio Banorte,Mexico City,Mexico,"FOX, Tele, Peacock",https://www.espn.com/soccer/match/_/gameId/760415/south-africa-mexico
760414,2026-06-12T02:00Z,120,South Korea,Czechia,South Korea vs Czechia,Czechia at South Korea,CZE @ KOR,Estadio Akron,Guadalajara,Mexico,"FS1, Tele, Peacock",https://www.espn.com/soccer/match/_/gameId/760414/czechia-south-korea
760416,2026-06-12T19:00Z,120,Canada,Bosnia-Herzegovina,Canada vs Bosnia-Herzegovina,Bosnia-Herzegovina at Canada,BIH @ CAN,BMO Field,Toronto,Canada,"FOX, Tele, Peacock",https://www.espn.com/soccer/match/_/gameId/760416/bosnia-herzegovina-canada
760417,2026-06-13T01:00Z,120,United States,Paraguay,United States vs Paraguay,Paraguay at United States,PAR @ USA,SoFi Stadium,"Inglewood, California",USA,"FOX, Tele, Peacock",https://www.espn.com/soccer/match/_/gameId/760417/paraguay-united-states
760420,2026-06-13T19:00Z,120,Qatar,Switzerland,Qatar vs Switzerland,Switzerland at Qatar,SUI @ QAT,Levi's Stadium,"Santa Clara, California",USA,"FOX, Tele, Peacock",https://www.espn.com/soccer/match/_/gameId/760420/switzerland-qatar
760419,2026-06-13T22:00Z,120,Brazil,Morocco,Brazil vs Morocco,Morocco at Brazil,MAR @ BRA,MetLife Stadium,"East Rutherford, New Jersey",USA,"FOX, Tele, Peacock",https://www.espn.com/soccer/match/_/gameId/760419/morocco-brazil
760418,2026-06-14T01:00Z,120,Haiti,Scotland,Haiti vs Scotland,Scotland at Haiti,SCO @ HAI,Gillette Stadium,"Foxborough, Massachusetts",USA,"FOX, Tele, Peacock",https://www.espn.com/soccer/match/_/gameId/760418/scotland-haiti
760421,2026-06-14T04:00Z,120,Australia,Türkiye,Australia vs Türkiye,Türkiye at Australia,TUR @ AUS,BC Place,Vancouver,Canada,"FS1, Tele, Peacock",https://www.espn.com/soccer/match/_/gameId/760421/turkiye-australia
760422,2026-06-14T17:00Z,120,Germany,Curaçao,Germany vs Curaçao,Curaçao at Germany,CUW @ GER,NRG Stadium,"Houston, Texas",USA,"FOX, Tele, Peacock",https://www.espn.com/soccer/match/_/gameId/760422/curacao-germany
760425,2026-06-14T20:00Z,120,Netherlands,Japan,Netherlands vs Japan,Japan at Netherlands,JPN @ NED,AT&T Stadium,"Arlington, Texas",USA,"FOX, Tele, Peacock",https://www.espn.com/soccer/match/_/gameId/760425/japan-netherlands
760423,2026-06-14T23:00Z,120,Ivory Coast,Ecuador,Ivory Coast vs Ecuador,Ecuador at Ivory Coast,ECU @ CIV,Lincoln Financial Field,"Philadelphia, Pennsylvania",USA,"FS1, Tele, Peacock",https://www.espn.com/soccer/match/_/gameId/760423/ecuador-ivory-coast
760424,2026-06-15T02:00Z,120,Sweden,Tunisia,Sweden vs Tunisia,Tunisia at Sweden,TUN @ SWE,Estadio BBVA,Guadalupe,Mexico,"FS1, Tele, Peacock",https://www.espn.com/soccer/match/_/gameId/760424/tunisia-sweden
